,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.7381121362668559,0.504302925989673,0.7834224598930482,0.6136125654450262,0.841501976284585
Decision Tree,0.7402413058907026,0.506872852233677,0.7887700534759359,0.6171548117154811,0.828417163967036
Random Forest,0.7856635911994322,0.6285714285714286,0.47058823529411764,0.5382262996941896,0.8218360071301248
XGBoost,0.7721788502484032,0.5684754521963824,0.5882352941176471,0.5781865965834428,0.8085496912862642
